address|address_date
73 rue montmartre, Paris|1845
82 rue montmartre, Paris|1845
112 rue montmartre, Paris|1845
12 rue  des jeuneurs, Paris|1837
15 rue de cléry, Paris|1837
15 rue de cléry, Paris|1837
2 place des victoires, Paris|1837
17 rue de cléry, Paris|1837
15 rue de cléry, Paris|1837
5 rue  des jeuneurs, Paris|1837
19 galerie d' orléans saint honoré, Paris|1837
17 rue du gros chenet, Paris|1837
12 place de la bourse, Paris|1837
43 rue du faubourg montmartre, Paris|1837
19 rue de cléry, Paris|1837
4 rue du gros chenet, Paris|1837
19 rue de cléry, Paris|1837
25 rue de cléry, Paris|1837
1 rue  des jeuneurs, Paris|1837
19 rue de cléry, Paris|1837
350 rue saint denis , Paris|1845
9 rue sainte barbe, Paris|1845
5 rue joquelet, Paris|1845
2 rue cléry, Paris|1845
17 rue cléry, Paris|1845
19 rue cléry, Paris|1845
21 rue cléry, Paris|1845
24 rue cléry, Paris|1845
4 rue gros chenet, Paris|1845
164 rue montmartre, Paris|1845
44 passage saumon , Paris|1845
58 rue du faubourg poissonnière, Paris|1837
8 rue des fossés montmartre, Paris|1837
4 rue du faubourg poissonnière, Paris|1837
4 rue  des jeuneurs, Paris|1837
2 rue des fossés montmartre, Paris|1837
19 rue des bourdonnais, Paris|1837
6 rue du gros chenet, Paris|1837
4 rue des fossés montmartre, Paris|1837
42 rue de cléry, Paris|1837
8 rue des deux boules, Paris|1837
5 rue hauteville, Paris|1837
16 rue sentier, Paris|1837
20 rue poissonnière, Paris|1837
5 rue tracy, Paris|1837
24 rue bourbon villeneneuve, Paris|1837
26 rue neuve saint eustache, Paris|1837
3 rue hauteville, Paris|1837
2 boulevard poissonnière, Paris|1837
3 rue sentier, Paris|1837
 rue fontaines du temple, Paris|1837
31 boulevard bonne nouvelle, Paris|1837
26 rue bondy, Paris|1837
26 rue neuve des petits champs, Paris|1837
119 rue saint martin, Paris|1837
25 rue neuve saint eustache, Paris|1837
44 rue hauteville, Paris|1837
4 passage violet, Paris|1837
16 rue saint fiacre, Paris|1837
15 rue bleue, Paris|1837
14 rue saint marc, Paris|1837
102 rue temple, Paris|1837
1 rue sentier, Paris|1837
68 rue saint martin, Paris|1837
19 rue des mauvaises paroles, Paris|1837
28 rue de cléry, Paris|1837
2 rue du gros chenet, Paris|1837
14 rue des bourdonnais, Paris|1837
25 rue de cléry, Paris|1837
25 rue de cléry, Paris|1837
12 place des victoires, Paris|1837
1 rue du mail, Paris|1837
5 place de la bourse, Paris|1837
52 rue des fossés du temple, Paris|1837
2 place des victoires, Paris|1837
8 rue du faubourg poissonnière, Paris|1837
14 rue  des jeuneurs, Paris|1837
19 rue du gros chenet, Paris|1837
1 rue  des jeuneurs, Paris|1837
29 rue de cléry, Paris|1837
9 rue de cléry, Paris|1837
22 rue richer, Paris|1837
70 rue bondy, Paris|1837
148 rue saint denis, Paris|1837
12 rue hauteville, Paris|1837
329 rue saint denis, Paris|1845
32 rue prouvaires, Paris|1837
45 rue quincampoix, Paris|1837
422 rue saint honoré, Paris|1837
2 rue réunion, Paris|1837
11 rue trois frères, Paris|1837
20 rue sentier, Paris|1837
28 rue échiquier, Paris|1837
4 rue des fossés montmartre, Paris|1837
4 place de la bourse, Paris|1837
3 rue  des jeuneurs, Paris|1837
15 rue des mauvaises paroles, Paris|1837
8 rue du gros chenet, Paris|1837
10 rue du faubourg montmartre, Paris|1837
15 rue des deux écus, Paris|1837
4 rue des fossés montmartre, Paris|1837
9 rue de cléry, Paris|1837
3 rue  des jeuneurs, Paris|1837
34 rue saint georges, Paris|1837
38 rue échiquier, Paris|1837
22 rue moineaux, Paris|1837
22 rue moineaux, Paris|1837
4 rue bouloi, Paris|1837
19 rue sentier, Paris|1837
11 rue grange batelière, Paris|1837
151 rue saint martin, Paris|1837
82 rue richelieu, Paris|1837
3 rue sentier, Paris|1837
3 rue sentier, Paris|1837
20 rue sentier, Paris|1837
5 rue antin, Paris|1837
23 rue neuve saint augustin, Paris|1837
31 boulevard bonne nouvelle, Paris|1837
4 rue hauteville, Paris|1837
2 rue neuve sainte geneviève, Paris|1837
5 rue hauteville, Paris|1837
3 rue hauteville, Paris|1837
48 rue  laffitte, Paris|1837
8 rue sentier, Paris|1837
112 rue saint martin, Paris|1837
22 rue quatre fils, Paris|1837
10 rue enghien, Paris|1837
11 rue des bourdonnais, Paris|1837
10 rue des fossés montmartre, Paris|1837
10 rue des fossés montmartre, Paris|1837
17 rue de cléry, Paris|1837
17 rue de cléry, Paris|1837
12 rue  des jeuneurs, Paris|1837
19 rue des bourdonnais, Paris|1837
29 rue du mail, Paris|1837
2 rue des fossés montmartre, Paris|1837
29 rue du mail, Paris|1837
17 rue des mauvaises paroles, Paris|1837
5 place des victoires, Paris|1837
19 rue de cléry, Paris|1837
35 place de la  madeleine, Paris|1837
3 rue du gros chenet, Paris|1837
11 rue helder, Paris|1837
22 rue richer, Paris|1837
5 rue neuve sainte croix, Paris|1837
8 rue réunion, Paris|1837
165 rue palais royal, Paris|1837
2 passage violet, Paris|1837
8 passage violet, Paris|1837
15 rue  jussienne, Paris|1837
166 rue saint denis, Paris|1837
8 rue rameau, Paris|1837
35 rue poissonnière, Paris|1837
35 rue poissonnière, Paris|1837
76 rue montmartre, Paris|1837
17 rue sentier, Paris|1837
22 rue beauregard, Paris|1845
2 rue du gros chenet, Paris|1837
7 rue du faubourg poissonnière, Paris|1837
151 rue   saint martin, Paris|1825
24 rue aux ours, Paris|1825
1 rue  de la limace, Paris|1825
11 rue des déchargeurs, Paris|1825
15 rue de la chanverrerie, Paris|1825
7 rue du plat d'étain, Paris|1825
30 rue  lancry, Paris|1845
9 rue mazarine, Paris|1837
7 rue thibaudoté, Paris|1837
5 rue bertin poirée, Paris|1837
12 rue chapelle saint denis, Paris|1837
5 rue bertin poirée, Paris|1837
32 rue paradis poissonnière, Paris|1837
16 rue sentier, Paris|1837
13 rue vivienne, Paris|1837
21 rue poissonnière, Paris|1837
34 rue saint martin, Paris|1837
22 rue sainte anne, Paris|1837
33 rue poissonnière, Paris|1837
176 rue montmartre, Paris|1837
34 rue échiquier, Paris|1837
14 rue sentier, Paris|1837
12 boulevard saint martin, Paris|1837
20 rue sentier, Paris|1837
36 rue hauteville, Paris|1837
27 rue saint honoré, Paris|1837
55 rue saint honoré, Paris|1837
39 rue neuve saint augustin, Paris|1837
24 rue sentier, Paris|1837
13 rue sentier, Paris|1837
20 rue sentier, Paris|1837
6 rue sainte apolline, Paris|1837
1 rue  lepelletier, Paris|1837
8 rue marie stuart, Paris|1837
11 rue des déchargeurs, Paris|1845
1 rue  de la limace, Paris|1845
208 rue du faubourg saint antoine, Paris|1845
20 rue paix, Paris|1837
7 rue neuve saint eustache, Paris|1837
333 rue saint honoré, Paris|1837
15 boulevard saint martin, Paris|1837
22 rue sentier, Paris|1837
57 rue bourbon villeneneuve, Paris|1837
57 rue bourbon villeneneuve, Paris|1837
5 rue saint georges, Paris|1837
2 rue échiquier, Paris|1837
36 rue neuve saint eustache, Paris|1837
20 rue sentier, Paris|1837
18 rue sentier, Paris|1837
10 rue bleue, Paris|1837
27 rue martyrs, Paris|1837
18 rue royale saint honoré, Paris|1837
8 passage violet, Paris|1837
42 rue ponceau, Paris|1837
46 rue poissonnière, Paris|1837
26 rue bouloi, Paris|1837
16 rue basse du rempart, Paris|1837
46 rue neuve saint eustache, Paris|1837
12 rue hauteville, Paris|1837
8 rue neuve saint eustache, Paris|1837
22 boulevard saint denis, Paris|1837
11 rue albouy, Paris|1837
5 rue hauteville, Paris|1837
53 rue échiquier, Paris|1837
28 rue paradis poissonnière, Paris|1837
9 rue sentier, Paris|1837
2 rue vrillière, Paris|1837
7 rue  laffitte, Paris|1837
122 rue saint martin, Paris|1837
27 rue bleue, Paris|1837
23 rue cadet, Paris|1837
5 rue neuve saint eustache, Paris|1837
13 rue poissonnière, Paris|1837
3 rue boucherat, Paris|1837
23 rue antin, Paris|1845
6 rue du caire, Paris|1845
24 rue du caire, Paris|1845
29 rue du caire, Paris|1845
2 place du caire, Paris|1845
2 place du caire, Paris|1845
19 rue de cléry, Paris|1845
44 rue de cléry, Paris|1845
46 rue de cléry, Paris|1845
72 rue de cléry, Paris|1845
87 rue de cléry, Paris|1845
1 rue du gros chenet, Paris|1845
17 rue  des jeuneurs, Paris|1845
18 rue du Croissant, Paris|1845
24 rue du caire, Paris|1845
32 rue du caire, Paris|1845
36 rue du caire, Paris|1845
2 rue de cléry, Paris|1845
29 rue de cléry, Paris|1845
39 rue de cléry, Paris|1845
40 rue de cléry, Paris|1845
66 rue de cléry, Paris|1845
81 rue de cléry, Paris|1845
82 rue de cléry, Paris|1845
96 rue de cléry, Paris|1845
23 rue du gros chenet, Paris|1845
20 rue  des jeuneurs, Paris|1845
15 rue vinaigriers, Paris|1837
3 rue française, Paris|1837
5 rue notre dame de bonne nouvelle, Paris|1845
31 rue ponceau, Paris|1837
84 rue montmartre, Paris|1837
10 rue martel, Paris|1837
2 rue chaussée d'antin, Paris|1837
6 rue des fossés montmartre, Paris|1845
23 rue des fossés montmartre, Paris|1845
1 rue du mail, Paris|1845
36 rue du mail, Paris|1845
17 rue du mail, Paris|1845
4 rue du caire, Paris|1845
36 rue du caire, Paris|1845
20 passage du caire, Paris|1845
14 rue de cléry, Paris|1845
20 rue de cléry, Paris|1845
26 rue de cléry, Paris|1845
51 rue de cléry, Paris|1845
79 rue de cléry, Paris|1845
91 rue de cléry, Paris|1845
3 rue du Croissant, Paris|1845
6 rue du Croissant, Paris|1845
13 rue du Croissant, Paris|1845
17 rue du Croissant, Paris|1845
9 rue des fossés montmartre, Paris|1845
29 rue des fossés montmartre, Paris|1845
8 rue du mail, Paris|1845
10 rue du mail, Paris|1845
14 rue du mail, Paris|1845
2 place du caire, Paris|1845
3 rue du caire, Paris|1845
5 rue du faubourg poissonnière , Paris|1845
105 rue du faubourg saint denis, Paris|1845
7 rue des fossés montmartre, Paris|1845
8 rue des fossés montmartre, Paris|1845
7 rue du mail, Paris|1845
12 rue du mail, Paris|1845
6 place des victoires, Paris|1845
12 place des victoires, Paris|1845
9 rue de cléry, Paris|1845
18 rue de cléry, Paris|1845
2 rue du gros chenet, Paris|1845
3 rue du gros chenet, Paris|1845
8 rue du gros chenet, Paris|1845
16 rue du gros chenet, Paris|1845
3 rue  des jeuneurs, Paris|1845
3 rue  des jeuneurs, Paris|1845
14 rue  des jeuneurs, Paris|1845
91 rue du faubourg saint martin, Paris|1845
124 rue du faubourg saint martin, Paris|1845
138 rue saint martin, Paris|1837
38 rue échiquier, Paris|1837
168 rue montmartre, Paris|1837
5 rue bac, Paris|1845
2 quai  de béthune , Paris|1845
2 quai  de béthune , Paris|1845
5 rue du caire, Paris|1845
18 rue du caire, Paris|1845
11 rue du caire, Paris|1845
22 rue du caire, Paris|1845
38 rue du faubourg saint martin, Paris|1845
96 rue de cléry, Paris|1845
9 rue du caire, Paris|1845
18 rue sentier, Paris|1837
20 rue sentier, Paris|1837
8 rue montholon, Paris|1837
21 rue sentier, Paris|1837
46 rue sainte anne, Paris|1837
9 rue sentier, Paris|1837
3 rue royale saint honoré, Paris|1837
32 rue neuve saint eustache, Paris|1837
250 rue saint honoré, Paris|1837
30 rue paradis poissonnière, Paris|1837
36 rue neuve saint eustache, Paris|1837
3 rue sentier, Paris|1837
30 rue enghien, Paris|1837
1 rue hauteville, Paris|1837
22 rue grange batelière, Paris|1837
22 rue grange batelière, Paris|1837
208 rue saint denis, Paris|1837
174 rue montmartre, Paris|1837
26 rue sentier, Paris|1837
15 rue traversière saint honoré, Paris|1837
14 rue rivoli, Paris|1837
67 rue saint martin, Paris|1837
68 rue saint martin, Paris|1837
138 rue montmartre, Paris|1845
30 rue du caire, Paris|1845
34 rue du caire, Paris|1845
21 rue du caire, Paris|1845
 rue du faubourg saint martin, Paris|1845
28 rue du caire, Paris|1845
1 rue du faubourg saint denis, Paris|1845
25 rue du caire, Paris|1845
26 rue du caire, Paris|1845
29 boulevard des italiens, Paris|1845
40 rue enghien, Paris|1837
266 rue saint denis, Paris|1837
45 rue neuve saint eustache, Paris|1837
29 rue neuve des petits champs, Paris|1837
35 rue poissonnière, Paris|1837
3 boulevard italiens, Paris|1837
19 boulevard saint denis, Paris|1837
19 rue notre dame de recouvrance, Paris|1845
31 rue mauconseil, Paris|1837
31 rue neuve saint eustache, Paris|1837
64 rue saint martin, Paris|1837
3 rue provence, Paris|1837
10 rue sentier, Paris|1837
23 rue bourbon villeneneuve, Paris|1837
7 rue bruyère, Paris|1837
7 rue montholon, Paris|1837
37 rue quincampoix, Paris|1837
32 rue baffroy, Paris|1837
23 rue bac, Paris|1837
5 rue neuve saint eustache, Paris|1837
18 rue petit carreau, Paris|1837
16 boulevard poissonnière, Paris|1837
9 rue hauteville, Paris|1837
95 rue montmartre, Paris|1837
47 rue quincampoix, Paris|1837
33 rue du caire, Paris|1845
3 rue du mail, Paris|1845
19 rue du faubourg saint denis, Paris|1845
23 rue du caire, Paris|1845
5 rue du caire, Paris|1845
18 rue du caire, Paris|1845
1 rue sentier, Paris|1837
1 rue sentier, Paris|1837
20 rue bleue, Paris|1837
44 rue hauteville, Paris|1837
41 rue échiquier, Paris|1837
31 rue échiquier, Paris|1837
14 rue sentier, Paris|1837
37 rue bourg l'abbé, Paris|1837
76 rue cherche midi, Paris|1837
69 rue richelieu, Paris|1837
16 rue sentier, Paris|1837
